month,day,eol_per,hid_per,solFot_per,solTer_per,termRenov_per,Nuclear_per,Demand_per
1,1,0.04632424568542204,0.15846379815749304,-0.47483767439277674,-0.7312162649303776,-0.04945649185038147,0.07035360022085652,-0.024391475703017012
1,2,0.05415063585565775,0.15374020251704829,-0.473262706861703,-0.7306538589273239,-0.05001150118036152,0.07194230490349741,-0.019106592778985583
1,3,0.06514062229725641,0.1501199653513742,-0.4711108490860539,-0.7298839196227356,-0.049883864717902016,0.07338138962140876,-0.01283114336629968
1,4,0.07916394541540238,0.14763660764776687,-0.4682915081161942,-0.7288651125678176,-0.0490578233145301,0.07470147531196555,-0.00565202875564269
1,5,0.09602335861158386,0.1462979767859051,-0.46473310162019044,-0.7275718419916415,-0.04752830714705438,0.07593202491876991,0.0023256854946476207
1,6,0.11545825890364851,0.14608636637831252,-0.460385245170617,-0.7259945747482218,-0.04530129153245622,0.07710067264566751,0.010980799802468645
1,7,0.13715007979121496,0.14695924492692852,-0.455220142937293,-0.7241394601654716,-0.0423938877428658,0.07823260834659035,0.02017850012632815
1,8,0.16072777621630407,0.14885049711671441,-0.449233526601373,-0.7220274081252654,-0.03883437835834004,0.07934995485197589,0.02977266283366398
1,9,0.18577708885327124,0.1516723369595946,-0.44244421447172055,-0.7196923447983768,-0.03466167024693716,0.08047134790019204,0.03960949646830135
1,10,0.21184837194585393,0.1553176483967388,-0.4348935020885514,-0.7171791469460416,-0.02992484287699285,0.08161147124280804,0.04953031589077636
1,11,0.23846649352775426,0.15966282374681817,-0.42664355295920314,-0.714541029138966,-0.024682315742605487,0.08278075479505026,0.05937496058745011
1,12,0.26514112206629165,0.16457099907692535,-0.417775191388696,-0.7118366103319186,-0.019000836691997636,0.08398516622507322,0.06898515072336932
1,13,0.2913776945467939,0.1698956786440591,-0.4083850138693105,-0.7091267240083297,-0.01295421048415656,0.0852261307380277,0.07820790864192632
1,14,0.31668700626573804,0.17548428597994234,-0.3985825819182108,-0.706471282238239,-0.006622220980499268,0.08650049631813393,0.08689833663337304
1,15,0.3405977143633985,0.18118248909491796,-0.3884861634585405,-0.7039258479466453,-8.87160268166732e-05,0.08780076228544191,0.09492326578448278
1,16,0.36266540896567806,0.18683796455000504,-0.37821932371488237,-0.7015386696513329,0.006559708503022385,0.0891152823319044,0.1021635634053161
1,17,0.38248259618000213,0.19230442089597397,-0.36790687584976883,-0.6993478246952829,0.013235431048103211,0.09042865170142009,0.10851665186261547
1,18,0.39968770842618473,0.19744547785326494,-0.35767084603342586,-0.6973787477896858,0.0198515580130374,0.09172220036251186,0.11389858644244921
1,19,0.41397211113041227,0.20213801656501526,-0.3476271832699311,-0.6956423406866157,0.026323280146480353,0.0929745066101754,0.11824540348878651
1,20,0.4250878390365094,0.2062757944934722,-0.337881560132032,-0.6941334071796572,0.032569939958998755,0.09416214219253487,0.12151460859020083
1,21,0.43285191666889056,0.20977204590191892,-0.32852674930734943,-0.6928299294949738,0.03851623735705234,0.09526033310511799,0.1236855318327018
1,22,0.4371502228606121,0.21256190102156255,-0.31963988969739787,-0.6916928758595243,0.044093691036614646,0.09624374441165584,0.12475950286422305
1,23,0.4379395602689732,0.21460419450263607,-0.31128043666120897,-0.6906666971397262,0.04924186068532974,0.0970872793053769,0.12475944891588453
1,24,0.4352480537093346,0.21588268535582839,-0.303488651632902,-0.6896804693255361,0.053909429049225924,0.09776689397633173,0.12372897926977668
1,25,0.4291741443778698,0.2164065821895143,-0.2962851982399901,-0.6886497188351459,0.058054807098007206,0.09826036403756133,0.12173107683153843
1,26,0.419883648638262,0.21621055300111897,-0.28967052706372853,-0.6874787091271891,0.06164703976591975,0.09854809488307634,0.1188462240018279
1,27,0.4076055863621129,0.215353920469027,-0.28362584730990226,-0.6860633385527507,0.06466591738450436,0.09861379692901391,0.11517025224924368
1,28,0.39262652261256986,0.21391929919357078,-0.2781142883412634,-0.6842943886647622,0.06710211171894764,0.09844512972176102,0.11081182103036384
1,29,0.375283676523731,0.21201059714215056,-0.27308275656578246,-0.6820610834293219,0.06895700033239383,0.09803424534059794,0.10588963976218552
1,30,0.3559567284879597,0.20975041717721005,-0.2684642743444702,-0.6792547922661917,0.07024225380877941,0.09737821476203597,0.10052943401694227
1,31,0.3350599108146669,0.20727708190661676,-0.2641810263611995,-0.6757729582555434,0.07097912213259439,0.0964793747275244,0.09486111284055214
2,1,0.31303118317846945,0.2047409491118555,-0.26014722535438006,-0.6715226186926705,0.07119764456108764,0.09534546328908615,0.08901527006831944
2,2,0.29032321750388157,0.20230063131362025,-0.2562727501796999,-0.666424031502202,0.07093551065291412,0.09398968834231983,0.08312034414135987
2,3,0.26739311850727815,0.2001188246344732,-0.2524666275989808,-0.6604138166645923,0.07023683987128372,0.0924306183410163,0.0772995893716384
2,4,0.24469216463590748,0.19835798122710266,-0.24864051950156163,-0.653447589857192,0.06915079603888585,0.09069191360016962,0.07166823153004706
