Tecnología,Media
eol,146506.6770262161
Nuclear,151072.35735855202
car,50258.01114945794
cc,108297.00018778119
hid,69546.62262725005
solFot,44773.75202495938
solTer,12987.39496028636
termRenov,11103.381715551823
demand,668917.9673703379
