Date,eol,Nuclear,car,cc,hid,solFot,solTer,termRenov
2016-01-01,202947.75,168899.0833333333,28820.0,53393.83333333333,-11131.333333333332,8167.166666666666,702.0833333333333,9627.666666666666
2016-01-02,236962.75,169308.75,30529.916666666664,48487.0,26627.083333333332,11830.166666666666,1211.0833333333333,9945.416666666666
2016-01-03,312276.9166666666,164792.3333333333,25320.833333333332,43649.83333333333,-1131.3333333333335,4271.25,97.58333333333333,10431.75
2016-01-04,260189.91666666666,145845.0,39932.166666666664,50946.666666666664,75888.0,4240.833333333333,71.0,10829.333333333332
2016-01-05,292265.9166666666,145933.8333333333,42358.08333333333,41065.25,75357.41666666666,11919.0,1391.1666666666665,10747.666666666666
2016-01-06,333408.4166666666,145943.75,30017.833333333332,34217.75,43327.33333333333,8815.75,916.5,10019.083333333332
2016-01-07,326957.1666666666,145724.8333333333,34109.08333333333,35096.5,71782.75,6562.666666666666,264.3333333333333,9966.916666666666
2016-01-08,261215.0833333333,145728.41666666666,38441.416666666664,34673.75,90771.75,8798.333333333332,990.5833333333333,10506.25
2016-01-09,286113.4166666666,145815.0,29946.833333333332,32166.416666666664,64158.666666666664,11010.0,1519.9166666666665,10874.166666666666
2016-01-10,308999.5,145951.3333333333,19965.166666666664,28184.166666666664,61742.25,7126.916666666666,416.5,9483.75
2016-01-11,328132.4166666666,145713.5,25193.75,34520.0,104815.91666666666,8832.083333333332,62.99999999999999,9839.75
2016-01-12,192747.8333333333,146138.66666666666,68550.58333333333,58006.58333333333,140477.66666666666,16165.5,4317.916666666666,11165.5
2016-01-13,134938.75,143904.5833333333,94336.58333333333,61937.166666666664,145147.75,14687.0,3781.333333333333,11514.833333333332
2016-01-14,183455.0833333333,146104.75,96104.16666666666,75035.83333333333,138978.16666666666,5771.666666666666,291.16666666666663,12543.833333333332
2016-01-15,209314.3333333333,146071.41666666666,83189.75,60957.5,128707.5,10766.333333333332,2235.583333333333,13430.833333333332
2016-01-16,183037.41666666666,146199.16666666666,55642.83333333333,44971.75,108660.75,20033.25,8038.416666666666,13285.083333333332
2016-01-17,128761.74999999999,146263.5,55603.33333333333,50845.666666666664,111176.58333333333,13017.583333333332,729.25,13967.5
2016-01-18,234556.75,146009.5833333333,95297.25,74369.91666666666,138958.16666666666,11781.666666666666,1848.5,14337.166666666666
2016-01-19,85481.83333333333,146176.16666666666,142702.0833333333,141822.0833333333,155590.0,10774.833333333332,480.3333333333333,14637.833333333332
2016-01-20,64024.5,146115.25,164650.5833333333,139352.41666666666,146124.16666666666,10403.916666666666,710.75,14332.666666666666
2016-01-21,105617.66666666666,146231.0,180733.25,125767.5,132580.0833333333,10233.416666666666,397.66666666666663,14690.5
2016-01-22,88197.08333333333,146235.41666666666,168631.0,87280.0,133874.16666666666,7757.25,1387.0833333333333,13962.833333333332
2016-01-23,68035.41666666666,146264.0833333333,125261.33333333333,52110.75,95402.5,12772.083333333332,2613.75,13128.666666666666
2016-01-24,121060.16666666666,146240.0,52139.08333333333,38338.416666666664,61469.25,16403.916666666664,5111.5,12653.25
2016-01-25,90807.66666666666,146237.41666666666,137605.91666666666,75860.33333333333,114102.75,11476.75,1316.8333333333333,13665.083333333332
2016-01-26,45028.75,146228.3333333333,182110.66666666666,85356.41666666666,135988.5,8958.25,1704.5,14028.25
2016-01-27,98048.33333333333,145985.25,138713.25,79892.75,128607.41666666666,9596.25,3346.4166666666665,13899.083333333332
2016-01-28,65208.0,146284.3333333333,143765.0833333333,81534.16666666666,135964.3333333333,8765.75,501.5833333333333,13812.5
2016-01-29,57500.0,146254.75,151381.25,83176.91666666666,125469.91666666666,7690.083333333333,1805.4166666666665,13049.416666666666
2016-01-30,140092.41666666666,146240.5,98027.33333333333,42235.166666666664,84854.08333333333,15685.25,5186.166666666666,12392.416666666666
2016-01-31,204671.3333333333,146339.5833333333,49283.166666666664,37160.83333333333,36580.58333333333,15587.583333333332,6365.75,12555.25
2016-02-01,75078.33333333333,146334.75,140039.16666666666,65212.08333333333,130013.66666666666,19719.0,8496.0,13690.916666666666
