Tecnología,Desviación estándar
eol,44696.02442325464
Nuclear,4155.85494748501
car,8235.576443787584
cc,23058.680217097033
hid,13560.466507037114
solFot,6666.28191330098
solTer,3542.052599812639
termRenov,407.062153891013
demand,16325.832419069635
